Date/Time,Word Count,ca,en,es
2024.11.19-19.08.28,118,0,0,118
2024.11.19-19.13.53,114,0,0,114
2024.11.19-19.24.39,112,112,112,112
2024.11.19-19.39.35,119,112,112,119
2024.11.19-19.40.24,119,112,119,119
2024.11.19-22.19.08,126,112,119,126
2024.11.19-22.24.30,126,112,126,126
2024.11.19-22.26.19,126,126,126,126
2024.11.19-23.26.47,126,124,124,126
2024.11.19-23.28.34,126,126,126,126
2024.11.19-23.55.18,133,126,126,133
2024.11.19-23.57.20,133,133,133,133
2024.11.20-00.04.55,146,133,133,146
2024.11.20-00.06.52,146,146,146,146
2024.11.20-03.14.17,150,146,146,150
2024.11.20-03.15.16,150,150,150,150
